,id,name,rating,address,description,review,alias,image_url,is_closed,review_count,latitude,longitude,location,display_phone,price,hours,transactions,languages,attributes,transit,best_time,delivery,pickup,online_ordering
0,9PmBsprReGaCiQ4bvxQoHQ,Diverxo,5.0,"Calle Padre Damián, 23, 28020 Madrid, Spain",Signature Cuisine Mediterranean ,"Diverxo is one of the most memorable, mindfuck meals I've had in my life. Highlight of my year and my trip, and Top 5 meals of my life so far.

If you're on.... I came in with lofty expectations and they just weren't met.  Ambiance and service were top notch.

Pace of the meal was too long, but it almost had to be.... Wonderful dining experience.  Food as art.  Finesse to the extreme.  Every flavor one can imagine.  Wine pairing was best ever. Nine unique and perfectly.... ",diverxo-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/UqDT1RAuOOEqA5_u8ju-wg/o.jpg,False,53,40.457888263931,-3.68604997698104,"{'address1': 'Calle Padre Damián, 23', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28020', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Padre Damián, 23', '28020 Madrid', 'Spain']}",+34 915 70 07 66,€€€€,,[],,,,,,,
1,rjPKtwv6fVC1MgKeW9lzJQ,Rubaiyat,5.0,"Calle de Juan Ramón Jiménez, 37, 28036 Madrid, Spain",Brazilian Steakhouses ,"Great place to eat in the area. Can't say nicer things. Madrid cuisine is hit or miss, one really needs to use Google reviews or Yelp to find that perfect.... Excellent food and excellent service! Mushroom app and then the Kobe beef for two was delicious. Bread and several delicious dipping sauces comes with the.... Rubaiyat is not for tourists.  Here, in the high-rent district, near P. Castilla, you're more likely to run into a PE investor or banker taking his or her.... ",rubaiyat-madrid-2,https://s3-media3.fl.yelpcdn.com/bphoto/neoJUu7iYGhe4d1ij32zwQ/o.jpg,False,20,40.4612,-3.68679,"{'address1': 'Calle de Juan Ramón Jiménez, 37', 'address2': '', 'address3': None, 'city': 'Madrid', 'zip_code': '28036', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Juan Ramón Jiménez, 37', '28036 Madrid', 'Spain']}",+34 913 59 56 96,€€€,,[],,,,,,,
2,vN43x56mIKFIG0XWzWZnrQ,Alfredo's Barbacoa,4.0,"Calle de Juan Hurtado de Mendoza, 11, 28036 Madrid, Spain",American (Traditional) Burgers ,"Delicious food and a friendly environment.

The burgers are particularly worth trying, they are possibly the best I've had in Madrid. The chili is also.... I will never return to this restaurant again, not because of the food (which was good for Spanish standards), but because of the offensive decoration. The.... Best burgers I found during my summer in Spain. Questionable decore (confederate flags and KKK references), but aside from that, the best coleslaw I've ever.... ",alfredos-barbacoa-madrid,https://s3-media4.fl.yelpcdn.com/bphoto/HsafPJTCYJYxXzdsQ4zMcA/o.jpg,False,55,40.460491958998,-3.6872518199854,"{'address1': 'Calle de Juan Hurtado de Mendoza, 11', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28036', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Juan Hurtado de Mendoza, 11', '28036 Madrid', 'Spain']}",+34 913 45 16 39,€€,,[],,,,,,,
3,86Bq7zTbFKh1KzTcn4BGhQ,Nitty Gritty,4.0,"Calle Doctor Fleming, 51, 28036 Madrid, Spain",Modern European Mediterranean Cocktail Bars ,"My favoirite place in Madrid. The staff is so kind and the food is amazing!
Every time we come to Madrid we visit Nitty Gritty and it has always been the.... A neat, well decorated place hidden away on a side street. The atmosphere is very rustic with the selections of table tops, chairs, and silverware. The.... Great place. Food was top-notch (had the sirloin (somillo)) and not too expensive. Decor and ambiance are great, if seemingly trying a *bit* too hard to be.... ",nitty-gritty-madrid,https://s3-media3.fl.yelpcdn.com/bphoto/D3fosJ-Lqmr7OkZKYQrL1Q/o.jpg,False,7,40.4636752082764,-3.68783762015435,"{'address1': 'Calle Doctor Fleming, 51', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28036', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Doctor Fleming, 51', '28036 Madrid', 'Spain']}",+34 914 34 73 33,€€,,[],,,,,,,
4,51S6z5J-W6IaBXqAChNHdA,Goiko Grill,4.0,"Avenida Alberto Alcocer, 42, 28016 Madrid, Spain",American (Traditional) Burgers ,"Finally a place in Madrid with salt and seasoning on their burgers and fries.

The food is really good here. It is definitely a go to if you're in Madrid.. It is twice as thick as the ""napkin plus"" of ""Brooklyn Burger"", the best hamburger in Korea.
Adding mushrooms to a kevin set is the best combination.
I can.... This is a great spot for a burger. Finding good food in Madrid was a challenge for me. This spot will not disappoint.. ",goiko-grill-madrid-12,https://s3-media2.fl.yelpcdn.com/bphoto/c2hXB50I6C8IJI1ad0KipQ/o.jpg,False,9,40.4584728802727,-3.68106816465038,"{'address1': 'Avenida Alberto Alcocer, 42', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28016', 'country': 'ES', 'state': 'M', 'display_address': ['Avenida Alberto Alcocer, 42', '28016 Madrid', 'Spain']}",+34 910 60 99 27,€€,,[],,,,,,,
5,DLhjz42ufrzRK7bubVQZnQ,El Quenco de Pepa,5.0,"Calle Henri Dunant, 21, 28036 Madrid, Spain",Modern European ,"I was told that Joe Biden dined here the week before I did, and even sat in the seat that I sat in. We were extremely well taken care of and everything that.... Excelente.
Los jitomates nunca había disfrutado de ellos , tienen un tamaño impresionante.
Comi Lenguado y estuvo suculento.
Lo recomiendo ampliamente.
El.... Excelente restaurante, no dejen de comer los tomates. Un clásico en Madrid, excelente servicio.. ",el-quenco-de-pepa-madrid,https://s3-media4.fl.yelpcdn.com/bphoto/ChfeOdTvJX5HPX3SBTPy4Q/o.jpg,False,6,40.4601,-3.68431,"{'address1': 'Calle Henri Dunant, 21', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28036', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Henri Dunant, 21', '28036 Madrid', 'Spain']}",+34 913 45 10 84,€€€,,[],,,,,,,
6,LQJpl8JLrR_o9cSWFFQjJg,Samm,4.0,"Calle de Carlos Caamaño, 3, 28016 Madrid, Spain",Arroceria / Paella Tapas/Small Plates ,"We were in Madrid and touring with a private guide who strongly recommended that we take a taxi outside of the tourist part of town and experience Samm for,.... We were taken here by a couple who live in Madrid
It was an amazing experience, dining out on the terrace and the paella with seafood was one of the best.... The hotel staff recommended this place.  It is a long taxi ride from Central Madrid, but claimed to be the best paella.  It is in a nondescript.... ",samm-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/2EvyBq8tzbBOxQCBZMGOVw/o.jpg,False,14,40.46428,-3.67,"{'address1': 'Calle de Carlos Caamaño, 3', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28016', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Carlos Caamaño, 3', '28016 Madrid', 'Spain']}",+34 913 45 30 74,€€€,,[],,,,,,,
7,po6Bhsild7qj5iIhObPNOA,Cachivache Taberna,4.0,"Calle de Serrano, 221, 28016 Madrid, Spain",Spanish Tapas Bars ,"Muy buen trío calidad-precio-ambiente.
Mis amigos y yo buscábamos algún sitio ""distinto"", y por ""distinto"" me refiero a que tengan opciones adicionales a.... ",cachivache-taberna-madrid,https://s3-media1.fl.yelpcdn.com/bphoto/GEwacMctZKSS3S1RQUUygQ/o.jpg,False,11,40.4546285648867,-3.67775132435832,"{'address1': 'Calle de Serrano, 221', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28016', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Serrano, 221', '28016 Madrid', 'Spain']}",+34 917 52 41 76,€€,,[],,,,,,,
8,c-dZdMvSrQWcjujLPUtPsA,La Bomba Bistrot,5.0,"Calle Pedro Muguruza, 5, 28036 Madrid, Spain",Arroceria / Paella Tapas/Small Plates ,This seems to be the place the locals are going. They do not have an English printed menu but one of the owners (I'm assuming since she wasn't dressed as.... Quality arroz. Very strong shrimp flavor in their version of the paella. Definitely go if you're a big seafood eater. The atmosphere is formal so try to.... We came here for lunch (two couples) and had a wonderful dining experience. This is a white tablecloth restaurant in a bright and inviting space. Menus are.... ,la-bomba-bistrot-madrid,https://s3-media1.fl.yelpcdn.com/bphoto/gaAA7uXSyYcQ1Bpx2Q3odw/o.jpg,False,7,40.4625256,-3.6858512,"{'address1': 'Calle Pedro Muguruza, 5', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28036', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Pedro Muguruza, 5', '28036 Madrid', 'Spain']}",+34 913 50 30 47,€€,,[],,,,,,,
9,5mhZzQbotCgn2AkDkViaJQ,Norte Sur 2,5.0,"Calle de Costa Rica, 16, 28016 Madrid, Spain",Seafood Beer Bar ,"The seafood here is so fresh and so good, we were here on vacation for 1 week and we came here twice. Yup, it's THAT good! The variety of seafood is wild.... ",norte-sur-2-madrid,https://s3-media3.fl.yelpcdn.com/bphoto/2-7XK5YwMsX6c8lk3n2wSQ/o.jpg,False,3,40.4583151579674,-3.67514957394007,"{'address1': 'Calle de Costa Rica, 16', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28016', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Costa Rica, 16', '28016 Madrid', 'Spain']}",+34 913 50 82 25,€€€,,[],,,,,,,
